name,text,icon,round
auto_less,"Course instructor controls all settings",autonomy.png,1
auto_med,"The course instructor controls some settings, but the student can change some settings",autonomy.png,1
auto_more,"Student can change all settings",autonomy.png,1
uv_more,"The tutor cannot be designed with a virtual avatar or conversational techniques that mimic a human teacher or tutor",uncanny_valley.png,2
uv_med,"The tutor cannot be designed with a virtual avatar that mimics a human teacher or tutor",uncanny_valley.png,2
uv_less,"The tutor can take on whatever virtual form technologists would like",uncanny_valley.png,2
ed_less,"The tutor conveys emotions",emotional_deception.png,3
ed_med,"The tutor conveys emotions AND informs the user of what emotion it is expressing",emotional_deception.png,3
ed_more,"The tutor cannot show emotions",emotional_deception.png,3
databias_more,"A third-party audit needs to be done to make sure that the data that the tutor uses is representative of the students that will be using it",bias_in_training_data.png,4
databias_med,"A third-party audit needs to be done only if the tutor is suspected to be biased",bias_in_training_data.png,4
databias_less,"The dataset should not be audited by a third party",bias_in_training_data.png,4
socialbias_more,"Someone with tutoring or teaching experience needs to be a part of the team designing the tutor",social_bias_in_design.png,5
socialbias_med,"Someone with tutoring or teaching experience needs to be a part of the team designing the tutor OR the team needs to talk to someone with this experience",social_bias_in_design.png,5
socialbias_less,"The team does not need someone with tutoring or teaching experience to is involved in the design",social_bias_in_design.png,5
privacy_less,"The tutor should remember everything ever said",data_privacy.png,6
privacy_med,"The tutor should only remember things that the student tells it to remember",data_privacy.png,6
privacy_more,"The tutor remembers nothing",data_privacy.png,6
sp_less,"The tutor can suggest other products or features to the student if it thinks the studentâ€™s learning will benefit",social_persuasion.png,7
sp_med,"The makers of the tutor can suggest other products or features to the student based on the data collection from the tutor if it thinks that the student's learning will benefit",social_persuasion.png,7
sp_more,"The student cannot be suggested other products or features",social_persuasion.png,7
techno_less,"There are no limits to what the tutor can help the students with or how",techno_solutionism.png,8
techno_med,"There should be guidelines for what and how the tutor should be helping the students with",techno_solutionism.png,8
techno_more,"There should be restrictions on what the tutor should be helping the students with",techno_solutionism.png,8
trans_more,"The tutor explains why it is making its suggestions",transparency.png,9
trans_less,"The tutor does not explain why suggestions were made",transparency.png,9
trans_med,"The tutor only lets the student know why suggestions were made when they ask",transparency.png,9